#control column B. concetrations in time in the bottom of column	
#TIME [s]	c_Zn [g/cm3]
140	1.75E-05
864.75	2.57E-06
1477.75	2.94E-04
2090.75	0.00E+00
2592	0.00E+00
3205	0.00E+00
3818	0.00E+00
4431	0.00E+00
5028.25	0.00E+00
5641.25	2.83E-04
6254.25	3.64E-04
6867.25	0.00E+00
7496	0.00E+00
8109	0.00E+00
8722	0.00E+00
9221.75	0.00E+00
9834.75	8.95E-04
10447.75	1.42E-03
11060.75	3.05E-04
11673.75	0.00E+00
12400	0.00E+00
13013	0.00E+00
13626	0.00E+00
14254.75	0.00E+00
14401.75	1.48E-03
15314.75	1.52E-03
16227.75	1.13E-04
17140.75	0.00E+00
18038	0.00E+00
18951	0.00E+00

