#biochar column A. concetrations in time in the bottom of column	
#TIME [s]	c_Zn [g/cm3]
140	1.22E-05
864.75	2.71E-06
1477.75	4.17E-05
2090.75	4.44E-07
2592	0.00E+00
3205	5.89E-07
3818	0.00E+00
4431	0.00E+00
5044	0.00E+00
5334.75	2.26E-06
5947.75	2.77E-04
6560.75	0.00E+00
7496	0.00E+00
8109	1.49E-06
8722	0.00E+00
9281.75	3.88E-06
9894.75	3.46E-04
10507.75	1.06E-03
11120.75	8.91E-04
11733.75	0.00E+00
12400	1.25E-06
13013	0.00E+00
13626	0.00E+00
14218.25	0.00E+00
14365.25	1.17E-03
15278.25	1.48E-03
16191.25	1.51E-03
17104.25	4.98E-04
18017.25	0.00E+00
18951	0.00E+00


