#AMO column B. concetrations in time in the bottom of column	
#TIME [s]	c_Zn [g/cm3]
140.00	3.38E-05
864.75	2.53E-05
1477.75	0.000136
2090.75	4.45E-06
2592.00	3.08E-06
3205.00	3.43E-06
3818.00	1.48E-06
4431.00	1.30E-06
5028.25	3.56E-06
5641.25	0.000134
6254.25	0.000128
6867.25	4.12E-07
7496.00	1.46E-06
8109.00	0
8722.00	0
9281.75	1.49E-06
9894.75	0.000542
10507.75	0.001015
11120.75	5.75E-05
11733.75	8.09E-08
12400.00	0
13013.00	0
13626.00	0
14674.75	0
14821.75	0.001444
15734.75	0.001714
16647.75	8.03E-05
17560.75	0
18038.00	0
18951.00	0



