#biochar column B. concetrations in time in the bottom of column	
#TIME [s]	c_Zn [g/cm3]
140	7.55E-06
864.75	2.45E-06
1477.75	3.48E-05
2090.75	0.00E+00
2592	0.00E+00
3205	0.00E+00
3818	0.00E+00
4431	3.33E-08
5044	0.00E+00
5334.75	0.00E+00
5947.75	3.03E-04
6560.75	5.54E-06
7496	1.18E-06
8109	0.00E+00
8722	1.32E-06
9281.75	8.61E-06
9894.75	4.17E-04
10507.75	1.16E-03
11120.75	6.76E-04
11733.75	0.00E+00
12400	0.00E+00
13013	0.00E+00
13626	0.00E+00
14218.25	0.00E+00
14365.25	1.34E-03
15278.25	1.49E-03
16191.25	1.53E-03
17104.25	1.59E-04
18017.25	0.00E+00
18951	0.00E+00
