				
#				
#	OBS.	POINT	head	cm]
#				
#				
#				
#	Time	Obs		
0.1	-754	-878	0	
5	-807	-862	0	
10	-819	-859	0.003537318712	
15	-826	-859	0.007074637425	
20	-828	-860	0.007074637425	
25	-776	-861	0.01414927485	
30	-86.8	-861	0.01414927485	
35	-33.4	-862	0.01768659356	
40	-23.2	-862	0.01768659356	
45	-19.1	-863	0.02122391227	
50	-17.1	-863	0.02476123099	
55	-16	-863	0.0282985497	
60	-15.4	-863	0.0282985497	
65	-17.9	-863	0.0282985497	
70	-14	-863	0.03183586841	
75	-13.5	-863	0.03183586841	
80	-12.9	-863	0.03537318712	
85	-12.6	-863	0.03537318712	
90	-12.4	-863	0.03537318712	
95	-12.3	-864	0.03891050584	
100	-12	-864	0.04244782455	
105	-11.9	-863	0.04598514326	
110	-11.6	-851	0.04598514326	
115	-9.77	-795	0.04598514326	
120	-10.8	-62	0.04952246197	
125	-10.6	-38.3	0.04952246197	
130	-10.1	-32.9	0.04952246197	
135	-9.72	-29.5	0.05305978069	
140	-9.57	-26.7	0.05305978069	
145	-9.62	-24.9	0.05305978069	
150	-9.1	-23.2	0.05305978069	
155	-8.4	-21.9	0.0565970994	
160	-8.68	-21	0.0565970994	
165	-8.55	-20	0.0565970994	
170	-8.38	-19.1	0.0565970994	
175	-8.43	-18.3	0.0565970994	
180	-8.25	-17.6	0.06013441811	
185	-7.96	-16.9	0.06013441811	
190	-7.43	-16	0.06013441811	
195	-7.24	-15.3	0.06367173682	
200	-7.21	-14.9	0.06367173682	
205	-7.04	-14.4	0.06367173682	
210	-7.06	-14.2	0.06367173682	
215	-6.66	-13.5	0.06367173682	
220	-6.34	-13.5	0.06720905554	
225	-6.29	-13.2	0.06720905554	
230	-6.39	-13	0.06720905554	
235	-6.59	-13	0.06720905554	
240	-6.32	-12.4	0.06720905554	
245	-5.79	-12.2	0.06720905554	
250	-5.77	-11.8	0.06720905554	
255	-5.42	-11.1	0.06720905554	
260	-4.8	-10.3	0.06720905554	
265	1.83	-3.24	0.06720905554	
270	-15.2	72.4	0.06720905554	
275	-21.9	-21.7	0.07074637425	
280	-24.3	-22.4	0.09197028652	
285	-24.7	-22.3	0.208701804	
290	1.78	0.863	0.3148213654	
295	0.9	0.266	0.4209409268	
300	-1.87	-3.66	0.5270604881	
305	-7.19	-8.26	0.6331800495	
310	-10.3	-11.6	0.7392996109	
315	-12.3	-14.1	0.8454191723	
320	-13.2	-15.2	0.9515387336	
325	-13.6	-15.8	1.057658295	
330	-13	-15.3	1.163777856	
335	-13.4	-16	1.269897418	
340	-13.5	-16.1	1.376016979	
345	-13.5	-16.2	1.482136541	
350	-13.5	-16.4	1.588256102	
355	-13.6	-16.1	1.694375663	
360	-13.5	-16.1	1.800495225	
365	-13.6	-16.1	1.906614786	
370	-13.3	-16.1	2.012734347	
375	-13.6	-16.2	2.118853909	
380	-13.8	-16.2	2.22497347	
385	-13.8	-16.3	2.331093031	
390	-13.7	-16.4	2.437212593	
395	-13.7	-16.6	2.543332154	
400	-13.6	-16.7	2.649451716	
405	-13.8	-16.4	2.755571277	
410	-13.8	-16.2	2.861690838	
415	-12.8	-16	2.9678104	
