#amo column A. concetrations in time in the bottom of column	
TIME [s]	c_Zn [g/cm3]
140.00		6.73013E-05
753.00		2.56611E-05
1366.00		9.05506E-05
1979.00		6.79692E-06
2592.00		6.63897E-06
3205.00		2.40046E-06
3818.00		3.85373E-06
4431.00		1.8173E-06
5044.00		5.2346E-07
5657.00		2.1309E-05
6270.00		0.000118256
6883.00		1.65769E-06
7496.00		1.72484E-06
8109.00		1.69528E-06
8722.00		1.06179E-06
9335.00		1.23836E-06
9948.00		1.41182E-05
10561.00	0.000335945
11174.00	0.00044126
11787.00	3.26474E-08
12400.00	0
13013.00	0
13626.00	0
14239.00	0
14386.00	0.000882988
15299.00	0.001442593
16212.00	0.00121952
17125.00	0
18038.00	0
18951.00	0


