#control column B. concetrations in time in the bottom of column	
TIME [s]	c_Zn [g/cm3]
140.00		1.74851E-05
753.00		2.56596E-06
1366.00		0.000293752
1979.00		0
2592.00		0
3205.00		0
3818.00		0
4431.00		0
5044.00		0
5657.00		0.00028303
6270.00		0.000363978
6883.00		0
7496.00		0
8109.00		0
8722.00		0
9335.00		0
9948.00		0.000894533
10561.00	0.00141701
11174.00	0.000305042
11787.00	0
12400.00	0
13013.00	0
13626.00	0
14239.00	0
14386.00	0.001483794
15299.00	0.001521228
16212.00	0.000112625
17125.00	0
18038.00	0
18951.00	0
