#biochar column B. concetrations in time in the bottom of column	
TIME [s]	c_Zn [g/cm3]
140.00		7.55461E-06
753.00		2.44665E-06
1366.00		3.4834E-05
1979.00		0
2592.00		0
3205.00		0
3818.00		0
4431.00		3.3257E-08
5044.00		0
5657.00		0
6270.00		0.000302969
6883.00		5.53607E-06
7496.00		1.18153E-06
8109.00		0
8722.00		1.3187E-06
9335.00		8.60706E-06
9948.00		0.000417155
10561.00	0.001156456
11174.00	0.0006762
11787.00	0
12400.00	0
13013.00	0
13626.00	0
14239.00	0
14386.00	0.001339064
15299.00	0.001489772
16212.00	0.001530729
17125.00	0.000158742
18038.00	0
18951.00	0
