#amo column A. concetrations in time in the bottom of column	
#TIME [s]	c_Zn [g/cm3]
140.00	6.73E-05
864.75	2.57E-05
1477.75	9.06E-05
2090.75	6.80E-06
2592.00	6.64E-06
3205.00	2.40E-06
3818.00	3.85E-06
4431.00	1.82E-06
5028.25	5.23E-07
5641.25	2.13E-05
6254.25	1.18E-04
6867.25	1.66E-06
7496.00	1.72E-06
8109.00	1.70E-06
8722.00	1.06E-06
9281.75	1.24E-06
9894.75	1.41E-05
10507.75	3.36E-04
11120.75	4.41E-04
11733.75	3.26E-08
12400.00	0.00E+00
13013.00	0
13626.00	0
14674.75	0
14821.75	8.83E-04
15734.75	1.44E-03
16647.75	1.22E-03
17560.75	0
18038.00	0
18951.00	0



