#biochar column A. concetrations in time in the bottom of column	
TIME [s]	c_Zn [g/cm3]
140.00		1.21937E-05
753.00		2.70574E-06
1366.00		4.16946E-05
1979.00		4.44137E-07
2592.00		0
3205.00		5.89056E-07
3818.00		0
4431.00		0
5044.00		0
5657.00		2.25942E-06
6270.00		0.000277166
6883.00		0
7496.00		0
8109.00		1.48875E-06
8722.00		0
9335.00		3.87766E-06
9948.00		0.000346311
10561.00	0.00106089
11174.00	0.000891288
11787.00	0
12400.00	1.25031E-06
13013.00	0
13626.00	0
14239.00	0
14386.00	0.001170681
15299.00	0.001480502
16212.00	0.001507063
17125.00	0.000497684
18038.00	0
18951.00	0

