#control column A, concetrations in time in the bottom of column	
#TIME [s]	c_Zn [g/cm3]
140	2.50158E-05
864.75	3.03717E-06
1477.75	0.000282687
2090.75	0
2592	0
3205	0
3818	0
4431	0
5028.25	0
5641.25	0.000425775
6254.25	0.000229373
6867.25	0
7496	0
8109	0
8722	0
9221.75	1.85034E-06
9834.75	0.001049846
10447.75	0.001483105
11060.75	0.000182541
11673.75	0
12400	0
13013	0
13626	0
14254.75	0
14401.75	0.001549422
15314.75	0.001428225
16227.75	6.1705E-05
17140.75	0
18038	0
18951	0

